name;artist;duration;url;original_url;image;game;amountOfDancers;difficulty;sinceVersion
24K Magic;Bruno Mars;3:29;https://youtu.be/ecX2KUfQPv0?t=11;https://youtu.be/_08-gqR2gPU?t=11;24k_magic;2018;2;1;10
24K Magic (Extreme);Bruno Mars;3:37;https://youtu.be/_WkHJj8MBZc?t=13;https://youtu.be/tbp8Xclin_Q?t=13;24k_magic_extreme;2018;1;4;11
34+35;Ariana Grande;2:50;https://youtu.be/5nM4Kqu5I3k;null;34+35;fanmade;1;2;12
365;Zedd & Katy Perry;2:50;https://youtu.be/yRp9OZMJziE?t=13;https://youtu.be/1SaJpV8SL3M?t=13;365;2020;1;1;9
4x4;Miley Cyrus;2:45;https://youtu.be/LTT783X0ql0;null;4x4;2015;4;2;12
7 Rings;Ariana Grande;3:03;https://youtu.be/PCc8B4JqYYs;null;7_rings;2020;3;2;12
7 Rings (Extreme Version);Ariana Grande;2:58;https://youtu.be/x9jYm4CEk2o;null;7_rings_extreme_version;2020;1;4;12
7th Element;Vitas;3:30;https://youtu.be/XsRRed5AhyI?t=10;https://youtu.be/uBtHrmUF138?t=10;7th_element;fanmade;1;1;10
A La Folie;Julien Granel & Lena Situations;3:30;https://youtu.be/QprciLYdHJs?t=19;https://youtu.be/4WXc7OnQlQY?t=19;a_la_folie;2022;1;2;10
A Little Less Conversation;lvis Presley vs. JXL;3:25;https://youtu.be/M3E_U7iwm98?t=12;https://youtu.be/O3Hx1fKzdrU?t=12;a_little_less_conversation;1;1;2;11
A Little Party Never Killed Nobody (All We Got);Fergie ft. Q-Tip, GoonRock;3:38;https://youtu.be/OJgGf_wuIWM;null;a_little_party_never_killed_nobody_all_we_got;2019;1;1;12
A Queda;Gloria Groove;2:48;https://youtu.be/9Y6Ffwx_k_g;null;a_queda;2024;1;2;12
Addicted To You;Avicii;2:28;https://youtu.be/_3fmm-Q_EhU;null;addicted_to_you;2015;1;2;12
Adeyyo;Ece Seçkin;3:46;https://youtu.be/5D16PZYSUqg;null;adeyyo;2019;1;1;12
Adore You;Harry Styles;3:28;https://youtu.be/uFza7tjiMoI;null;adore_you;2021;1;1;12
Aerodynamic;Daft Punk;4:10;https://youtu.be/OgdPpZNzk-Q;null;aerodynamic;other;1;2;12
After Party;Banx & Ranx ft. Zach Zoya;3:28;https://youtu.be/GBuf21NjYCA;null;after_party;2024;1;2;12
Age Age Every Night;DJ OZMA;3:51;https://youtu.be/EBft7hD-nY0;null;age_age_every_night;wii2;1;1;12
Ain’t My Fault;Zara Larsson;3:14;https://youtu.be/4s3gBTIRGSk?t=28;https://youtu.be/nbeWKX1cZs0?t=28;aint_my_fault;2018;1;2;10
Ain’t No Mountain High Enough;Marvin Gaye & Tammi Terrell;2:17;https://youtu.be/0vPs5i7ho0k?t=21;https://youtu.be/PxTAzOo6RsY?t=21;aint_no_mountain_high_enough;2015;2;1;10
Airplanes;B.o.B ft. Hayley Williams;2:45;https://youtu.be/hUa4AeR_xMg?t=18;https://youtu.be/q_gLCd1brGE?t=18;airplanes;3;1;1;11
Alfonso Signorini;FEDEZ;3:13;https://youtu.be/MLzDfTZXh1A;null;alfonso_signorini;2014;1;3;12
All I Want For Christmas Is You;Mariah Carey;3:50;https://youtu.be/8oN2yMzv3dY?t=22;https://youtu.be/Yrm21Ie6OrU?t=22;all_i_want_for_chrismas_is_you;fanmade;1;1;0
All The Stars;Kendrick Lamar Ft. SZA;3:58;https://youtu.be/N1BAHHwaiHo;null;all_the_stars;2023;1;2;12
All You Gotta Do (Is Just Dance);The Just Dance Band;3:37;https://youtu.be/z6hJ7JxbVz4?t=6;https://youtu.be/upRsNkVP93M?t=6;all_you_gotta_do_(is_just_dance);2018;1;1;0
All You Gotta Do (Simple version);The Just Dance Band;1:07;https://youtu.be/jIaLcsSvmZY;null;all_you_gotta_do_simple_version;other;1;1;12
All the Good Girls to Hell;Billie Eilish;2:48;https://youtu.be/F6QbX-KKf3k;null;all_the_good_girls_to_hell;2019;1;2;12
American Boy;Estelle ft. Kanye West;4:06;https://youtu.be/bWETX2jnFMk?t=11;https://youtu.be/iARZVyQ0PMg?t=11;american_boy;2;2;1;11
Among Us;Moondai;2:00;https://youtu.be/k5l7e4l6LXM?t=25;https://youtu.be/2YDtzsw7U-w?t=25;among_us;fanmade;1;2;0
Animals (extreme version);Martin Garrix;2:55;https://youtu.be/1l-jlD1KPOQv=-DYALBogmJo;https://www.youtube.com/watch?v=-DYALBogmJo;animals_extreme;2016;1;4;0
Another One Bites the Dust (Stunt Version);Queen;3:35;https://youtu.be/occBk9lgx9Q?t=3;https://youtu.be/QIk3OCdHRmA?t=3;another_one_bites_the_dust_alternate;2018;1;3;11
Anything I Do;CLiQ ft. Ms Banks and Alika;2:45;https://youtu.be/kcBmBO9V9fY;null;anything_i_do;2023;3;4;12
Apache (Jump On It);The Sugarhill Gang;4:08;https://youtu.be/3TAxfqPbl8U?t=22;null;apache_jump_on_it;3;1;2;11
Applause;Lady Gaga;3:25;https://youtu.be/kZuAqsmWhUYv=EwUhKym99vU;https://www.youtube.com/watch?v=EwUhKym99vU;applause;2014;1;2;6
Applause (Alternate);Lady Gaga;3:35;https://youtu.be/OEHVYFUN61Qv=EpmW5Hy6yFM;https://www.youtube.com/watch?v=EpmW5Hy6yFM;applause_alternate;2014;1;3;11
As It Was;Harry Styles;2:35;https://youtu.be/t8CmNuyJgcg?t=9;https://youtu.be/bW5ObnSbt9Y?t=9;as_it_was;2023;1;2;10
Aserejé;Las Ketchup;3:14;https://youtu.be/mwXjRGDPut8;https://youtu.be/yyb2tD0cTFA;asereje;4;2;1;9
Automaton;Jamiroquai;4:02;https://youtu.be/je3ul5p1lPs?t=24;https://youtu.be/9zvK7mMmr4o?t=24;automaton;2018;1;2;10
Automaton (Tomato Version);Jamiroquai;3:40;https://youtu.be/kXlimcQKVvg?t=16;https://youtu.be/K56ao662420?t=16;automaton_tomato_version;2018;1;2;11
BOOMBAYAH;Blackpink;3:37;https://youtu.be/TBMw1vy8CPY;https://youtu.be/sQQEJnjznx0&start=21;boombayah;2022;4;4;1
BUTTER (extreme);BTS;2:50;https://youtu.be/wLp66B37USM;null;butter;2024;4;4;12
Baby Girl;LT and Rican;2:48;https://youtu.be/3IO-hJeAeLg?t=30;https://youtu.be/Oe7xzeQ2hbE?t=30;baby_girl;2;1;1;11
Baby Got Back;Sir Mix-A-lot Mack Daddy ;2:38;https://youtu.be/QyNMaO97o0Y;null;baby_got_back;dcs3;1;3;12
Baby One More Time;Britney Spears;3:18;https://youtu.be/ehGQ72oQgR0?t=2;https://youtu.be/4lO_l6B4FIs?t=2;baby_one_more_time;3;4;1;9
Bad Guy (extreme);Billie Eilish;3:10;https://youtu.be/PAI9VTTA8pc?t=42;https://youtu.be/IPMA1S4iEQY?t=42;bad_guy_extreme;2020;1;4;8
Bad Habits;Ed Sheeran;3:56;https://youtu.be/qYjm3ohMjkI;null;bad_habits;2022;1;2;12
Bad Romance (Extreme);Lady Gaga;4:50;https://youtu.be/p6Y6HLI8yeM?t=18;https://youtu.be/c_LGT2XGiX4?t=18;bad_romance_official;2015;1;4;4
Baianá;Bakermat;3:00;https://youtu.be/xpG2K_qCANwv=25uN4wpmdfQ&?t=22s;https://www.youtube.com/watch?v=25uN4wpmdfQ&t=22s;baiana;2022;1;1;0
Bailando;Enrique Iglesias ft. Descemer Bueno and Gente de Zona;3:01;https://youtu.be/2QujZWC_zvIv=T0f4PLgBuzw;https://www.youtube.com/watch?v=T0f4PLgBuzw;bailando;2015;2;2;4
Bailando;Paradisio ft. Maria Garcia and DJ Patrick Samoy;3:21;https://youtu.be/ZcZI55PXdR4?t=16;https://youtu.be/D0tCinHaCu8?t=16;bailando_paradisio;2021;1;1;11
Bailar;Deorro ft. Elvis Crespo;2:34;https://youtu.be/wcZHwzIuQ68v=eV4kPGM2RBo&star?t=20;https://www.youtube.com/watch?v=eV4kPGM2RBo&start=20;bailar;2017;1;2;4
Balkan Blast Remix;Ari Pulkkinen;2:14;https://youtu.be/5AjAkNO07EY?t=15;https://youtu.be/MUCy1gOwG0Y?t=15;balkan_blast;2016;4;1;10
Bang Bang Bang;Big Bang;3:41;https://youtu.be/5aa8ia8hl6M;null;bang_bang_bang;2020;3;3;12
Bang Bang Bang (extreme);Big Bang;3:38;https://youtu.be/CMzGmhv2lN4?t=9;https://youtu.be/2Bz8F5WhlCQ?t=9;bang_bang_bang_extreme;2019;1;4;9
Bangarang (extreme version);Skrillex ft. Sirah;3:37;https://youtu.be/nlEfN6CF8cwv=7MMY5V9xDx0;https://www.youtube.com/watch?v=7MMY5V9xDx0;bangarang_extreme;2020;1;4;0
Barbara Streisand;Duck Sauce;2:45;https://youtu.be/6eN-RoMsgAw;null;barbara_streisand;sendhelp;1;1;12
Barbie Girl;Aqua;3:06;https://youtu.be/Jo5lo4xyQCI;https://youtu.be/6AtyyRVxT9g;barbie_girl;2;2;2;0
Barbra Streisand;Duck Sauce;3:15;https://youtu.be/Y9j_qMTpRFs?t=15;https://youtu.be/w0rEGcb6g7k?t=15;barbra_streisand;3;1;2;0
Barbra Streisand (Extreme);Duck Sauce;3:22;https://youtu.be/hkheDNGngbgv=prX2MfVwBy0&?t=20s;https://www.youtube.com/watch?v=prX2MfVwBy0&t=20s;barbra_streisand_extreme;3;1;4;10
Beat It;Michael Jackson;4:00;https://youtu.be/mFj9mKjpZdkv=16jC2_A7IKk;https://www.youtube.com/watch?v=16jC2_A7IKk;beat_it;mje;3;2;11
Beautiful Liar;Beyoncé & Shakira;3:09;https://youtu.be/_iekN1h6qdI?t=12;https://youtu.be/yt4V20MYFJs?t=12;beautiful_liar;3;2;2;11
Beauty and a Beat;Justin Bieber ft. Nicki Minaj;3:48;https://youtu.be/TN7PA1eaIcs?t=13;https://youtu.be/NjEQpTYGmkw?t=13;beauty_and_a_beat;4;1;3;9
Beep Beep I’m A Sheep;LilDeuceDeuce ft. BlackGryph0n & TomSka;2:21;https://youtu.be/bMtU-SIFORM?t=28;https://youtu.be/M9pNXkdbEjE?t=28;beep_beep_im_a_sheep;2018;1;1;11
Beggin';Måneskin;3:22;https://youtu.be/mUhUu8iW4Vo?t=12;https://youtu.be/rMMLsVCzQbA&t=14;beggin;2023;1;3;11
Believer;Imagine Dragons;3:18;https://youtu.be/5AJT_GDgWgo?t=13;https://youtu.be/f59ndbhNsFo?t=13;believer;2022;2;2;9
Beware of The Boys;Panjabi MC;4:03;https://youtu.be/9eeXd9yvR4M;null;beware_of_the_boys;4;4;2;12
Billie;Michael Jackson;5:31;https://youtu.be/VB3u7SGy1p4;null;billie;mje;1;2;12
Birthday;Katy Perry;3:36;https://youtu.be/_IdCaa8uH1sv=vCIYmJ6pyy4;https://www.youtube.com/watch?v=vCIYmJ6pyy4;birthday;2015;1;2;0
Black Mamba (Alternate Version);Aespa;2:44;https://youtu.be/VDvRJe8cMDY?t=13;https://youtu.be/gFmbkcMv5zI?t=13;black_mamba_alt;2;1;2;11
Black Or White ;Michael Jackson;3:18;https://youtu.be/RcS4QTREDbc;null;black_or_white;mje;1;3;12
Black Widow;Iggy Azalea ft. Rita Ora;3:28;https://youtu.be/mG9dSBOl_3w?t=14;https://youtu.be/oPijNFowzyk?t=14;black_widow;2015;1;2;10
Blame;Calvin Harris ft. John Newman;3:28;https://youtu.be/1AJnoyxTW-Mv=A6kuzCmYYWg&star?t=11;https://www.youtube.com/watch?v=A6kuzCmYYWg&start=11;blame;2016;1;2;3
Blame It On The Boogie;The Jacksons;3:48;https://youtu.be/7n-Obii09qs;null;blame_it_on_the_boogie;2014;4;1;12
Blame It On The Boogie (Extreme Version);The Jacksons;3:26;https://youtu.be/oL9PSKUmTUs;null;blame_it_on_the_boogie_extreme_version;2014;1;4;12
Blinding Lights;The Weeknd;3:11;https://youtu.be/CYXxoT4O8UU?t=15;https://youtu.be/hnVwwzCVoqg?t=15;blinding_lights;2021;1;1;10
Bloody Mary;Lady Gaga;3:48;https://youtu.be/Vno9xbVxdgs?t=26;https://youtu.be/cpHDR0TM18U?t=26;bloody_mary;plus;1;2;11
Blow Your Mind (Mwah);Dua Lipa;3:01;https://youtu.be/op2ss8JVs4w?t=2;https://youtu.be/r7TndD-Ahi0?t=2;blow_your_mind_mwah;2018;1;2;11
Blue (Da Ba Dee);Eiffel 65 (Hit The Electro Beat);3:30;https://youtu.be/bxERuBXI3Ik?t=14;https://youtu.be/AFIqSaZM2D0?t=14;blue;2018;1;1;0
Blurred Lines (Extreme Version);Robin Thicke;3:42;https://youtu.be/f7pUfqyIUkM;null;blurred_lines_extreme_version;2014;1;4;12
Bo Peep Bo Peep;T-ARA;3:37;https://youtu.be/EOL5EIXWcaw?t=18;https://youtu.be/QRAsC6w9zOM?t=18;bo_peep_bo_peep;wii2;1;1;9
Body Movin';Beastie Boys;4:00;https://youtu.be/m-bK0WOY4IQv=Repsz89msqI&?t=24s;https://www.youtube.com/watch?v=Repsz89msqI&t=24s;body_movin;2;1;1;0
